"biceps","bone","caliper1","caliper2","caliper3","calories","chest","comment","dateTime","fat","hip","lbm","muscle","neck","thigh","visceralFat","waist","water","weight"
0.0,3.4163303,0.0,0.0,0.0,0.0,0.0,"","2022-12-15 07:42",37.15958,0.0,0.0,59.63561,0.0,0.0,31.503098,0.0,44.868057,106.6
0.0,3.431949,0.0,0.0,0.0,0.0,0.0,"","2022-12-14 10:06",37.170227,0.0,0.0,59.62534,0.0,0.0,17.489573,0.0,44.860455,107.1
0.0,3.431949,0.0,0.0,0.0,0.0,0.0,"","2022-12-14 09:13",37.170227,0.0,0.0,59.62534,0.0,0.0,17.489573,0.0,44.860455,107.1
0.0,3.4298446,0.0,0.0,0.0,0.0,0.0,"","2022-12-14 08:44",37.208313,0.0,0.0,59.589214,0.0,0.0,17.489573,0.0,44.833263,107.1
0.0,3.4423683,0.0,0.0,0.0,0.0,0.0,"","2022-12-13 12:28",37.0404,0.0,0.0,59.74844,0.0,0.0,17.502308,0.0,44.953156,107.2
0.0,3.4423683,0.0,0.0,0.0,0.0,0.0,"","2022-12-13 12:24",37.0404,0.0,0.0,59.74844,0.0,0.0,17.502308,0.0,44.953156,107.2
0.0,3.4285445,0.0,0.0,0.0,0.0,0.0,"","2022-12-13 09:32",37.173195,0.0,0.0,59.622562,0.0,0.0,17.476837,0.0,44.858337,107.0
0.0,3.4269354,0.0,0.0,0.0,0.0,0.0,"","2022-12-13 09:03",37.319504,0.0,0.0,59.483734,0.0,0.0,17.502308,0.0,44.753872,107.2
0.0,3.4097695,0.0,0.0,0.0,0.0,0.0,"","2022-12-13 09:02",37.220013,0.0,0.0,59.578323,0.0,0.0,31.452248,0.0,44.82491,107.2
0.0,3.4097695,0.0,0.0,0.0,0.0,0.0,"","2022-12-12 09:09",37.220013,0.0,0.0,59.578323,0.0,0.0,31.452248,0.0,44.82491,106.5
0.0,3.4169698,0.0,0.0,0.0,0.0,0.0,"","2022-12-11 11:14",37.38291,0.0,0.0,59.423664,0.0,0.0,17.476837,0.0,44.708603,107.2
0.0,3.4169698,0.0,0.0,0.0,0.0,0.0,"","2022-12-11 10:38",37.38291,0.0,0.0,59.423664,0.0,0.0,17.476837,0.0,44.708603,107.4
0.0,3.4169698,0.0,0.0,0.0,0.0,0.0,"","2022-12-11 09:36",37.38291,0.0,0.0,59.423664,0.0,0.0,17.476837,0.0,44.708603,107.1
0.0,3.4169698,0.0,0.0,0.0,0.0,0.0,"","2022-12-11 09:35",37.38291,0.0,0.0,59.423664,0.0,0.0,17.476837,0.0,44.708603,107.0
0.0,3.4169698,0.0,0.0,0.0,0.0,0.0,"","2022-12-11 09:34",37.38291,0.0,0.0,59.423664,0.0,0.0,17.476837,0.0,44.708603,107.0
0.0,3.4136689,0.0,0.0,0.0,0.0,0.0,"","2022-12-11 09:32",37.325573,0.0,0.0,59.47811,0.0,0.0,31.604801,0.0,44.74954,106.8
0.0,3.4280908,0.0,0.0,0.0,0.0,0.0,"","2022-12-10 10:59",37.240063,0.0,0.0,59.559113,0.0,0.0,17.489573,0.0,44.810596,107.8
0.0,3.4280908,0.0,0.0,0.0,0.0,0.0,"","2022-12-10 10:35",37.240063,0.0,0.0,59.559113,0.0,0.0,17.489573,0.0,44.810596,107.1
0.0,3.4280908,0.0,0.0,0.0,0.0,0.0,"","2022-12-10 08:48",37.240063,0.0,0.0,59.559113,0.0,0.0,17.489573,0.0,44.810596,107.1
0.0,3.4280908,0.0,0.0,0.0,0.0,0.0,"","2022-12-10 08:47",37.240063,0.0,0.0,59.559113,0.0,0.0,17.489573,0.0,44.810596,107.1
0.0,3.416083,0.0,0.0,0.0,0.0,0.0,"","2022-12-09 08:43",37.105076,0.0,0.0,59.687332,0.0,0.0,31.452248,0.0,44.906975,106.5
0.0,3.4359515,0.0,0.0,0.0,0.0,0.0,"","2022-12-08 09:45",37.21502,0.0,0.0,59.58279,0.0,0.0,17.515043,0.0,44.828476,107.3
0.0,3.4359515,0.0,0.0,0.0,0.0,0.0,"","2022-12-08 09:44",37.21502,0.0,0.0,59.58279,0.0,0.0,17.515043,0.0,44.828476,107.3
0.0,3.4401603,0.0,0.0,0.0,0.0,0.0,"","2022-12-08 08:01",37.138973,0.0,0.0,59.65492,0.0,0.0,17.515043,0.0,44.882774,107.3
0.0,3.4380972,0.0,0.0,0.0,0.0,0.0,"","2022-12-08 07:16",37.351406,0.0,0.0,59.453327,0.0,0.0,17.55325,0.0,44.731094,107.7
0.0,3.4380972,0.0,0.0,0.0,0.0,0.0,"","2022-12-08 07:15",37.351406,0.0,0.0,59.453327,0.0,0.0,17.55325,0.0,44.731094,107.6
0.0,3.4226854,0.0,0.0,0.0,0.0,0.0,"","2022-12-07 10:02",37.22068,0.0,0.0,59.577553,0.0,0.0,17.464102,0.0,44.824432,106.9
0.0,3.4226854,0.0,0.0,0.0,0.0,0.0,"","2022-12-07 08:30",37.22068,0.0,0.0,59.577553,0.0,0.0,17.464102,0.0,44.824432,106.9
0.0,3.4287925,0.0,0.0,0.0,0.0,0.0,"","2022-12-07 08:09",37.227364,0.0,0.0,59.571148,0.0,0.0,17.489573,0.0,44.81966,107.1
0.0,3.4307935,0.0,0.0,0.0,0.0,0.0,"","2022-12-07 08:08",37.249733,0.0,0.0,59.549896,0.0,0.0,17.502308,0.0,44.803688,107.1
0.0,3.4307935,0.0,0.0,0.0,0.0,0.0,"","2022-12-06 09:33",37.249733,0.0,0.0,59.549896,0.0,0.0,17.502308,0.0,44.803688,107.2
0.0,3.4358897,0.0,0.0,0.0,0.0,0.0,"","2022-12-06 09:07",37.44931,0.0,0.0,59.36045,0.0,0.0,17.565985,0.0,44.66119,107.7
0.0,3.447444,0.0,0.0,0.0,0.0,0.0,"","2022-12-05 10:48",37.64659,0.0,0.0,59.17311,0.0,0.0,17.655132,0.0,44.520332,109.0
0.0,3.447444,0.0,0.0,0.0,0.0,0.0,"","2022-12-04 10:50",37.64659,0.0,0.0,59.17311,0.0,0.0,17.655132,0.0,44.520332,108.4
0.0,3.412823,0.0,0.0,0.0,0.0,0.0,"","2022-12-03 08:17",37.223373,0.0,0.0,59.575108,0.0,0.0,31.503098,0.0,44.82251,106.6
0.0,3.4219425,0.0,0.0,0.0,0.0,0.0,"","2022-12-02 08:45",37.057514,0.0,0.0,59.732414,0.0,0.0,31.503098,0.0,44.940933,106.6
0.0,3.4219425,0.0,0.0,0.0,0.0,0.0,"","2022-12-02 08:44",37.057514,0.0,0.0,59.732414,0.0,0.0,31.503098,0.0,44.940933,106.6
0.0,3.425429,0.0,0.0,0.0,0.0,0.0,"","2022-12-01 10:11",37.405144,0.0,0.0,59.40247,0.0,0.0,17.515043,0.0,44.692726,107.3
